,Department,CourseNumber,CourseName,StudentCount,AvgGPA
508,ECON,199,Introduction to Game Theory,40,3.78
509,ECON,202,Economic Statistics I,163,2.9
510,ECON,203,Economic Statistics II,664,2.9
511,ECON,302,Inter Microeconomic Theory,675,2.53
512,ECON,303,Inter Macroeconomic Theory,275,2.93
513,ECON,402,American Economic History,36,2.78
514,ECON,411,Public Sector Economics,33,2.76
515,ECON,414,Urban Economics,28,3.3
516,ECON,417,Cost-Benefit Analysis,37,3.2
517,ECON,418,Health Economics,39,3.36
518,ECON,420,International Economics,39,3.09
519,ECON,426,Monetary Economics and Policy,29,2.98
520,ECON,437,Game Theory,67,2.96
521,ECON,440,Economics of Labor Markets,33,3.07
522,ECON,447,Economics of the Workplace,64,3.16
523,ECON,448,Employee Comp & Incentives,65,2.91
524,ECON,450,Development Economics,62,3.26
525,ECON,453,Econ Middle East & N. Africa,38,3.31
526,ECON,455,Economics: Poverty Alleviation,34,3.57
527,ECON,460,Financial Economics,40,3.31
528,ECON,471,Intro to Applied Econometrics,162,2.68
529,ECON,472,Financial Econometrics,30,3.36
530,ECON,475,Economic Forecasting,96,3.33
531,ECON,480,Industrial Comp and Monopoly,26,2.44
532,ECON,481,Govt Reg of Economic Activity,84,3.27
533,ECON,484,Law and Economics,34,3.57
534,ECON,490,Applied Machine Learning: Econ,165,3.21
535,ECON,501,Macroeconomics,30,3.69
536,ECON,503,Econometrics,71,3.47
537,ECON,517,Monetary Policy,42,3.5
538,ECON,519,Development and Growth Policy,35,3.65
539,ECON,528,Microeconomics for Business,844,3.63
540,ECON,590,Industrial Organization,65,3.68
541,EDUC,201,Identity and Difference in Edu,85,3.77
542,EDUC,202,Social Justice Sch & Society,89,3.76
543,ENG,398,ELA Leadership Training,37,3.96
544,ENG,471,Seminar Energy & Sustain Engrg,41,3.8
545,ENG,491,Nanosatellite Design Build 1,21,3.89
546,ENG,598,Teaching and Leadership,31,3.54
547,ENGL,104,Intro to Film,74,3.41
548,ENGL,109,Intro to Fiction-ACP,44,3.64
549,ENGL,119,Harry Potter and More,28,3.69
550,ENGL,120,Science Fiction,26,3.55
551,ENGL,200,Intro to the Study of Lit,23,3.65
552,ENGL,202,Medieval Lit and Culture,31,3.16
553,ENGL,204,Renaissance Lit and Culture,24,3.74
554,ENGL,218,Introduction to Shakespeare,31,3.48
